zipcode,DealerName,Address,Link,city,state,county_name,Latitude,Longitude,IV_link
6475,Grossman Chev-Nissan-Geo,"295 MIDDLESEX TPKE, OLD SAYBROOK, CT 06475",http://www.grossmannissan.com/,Old Saybrook,CT,Middlesex County,NA,NA,http://www.grossmannissan.com/searchnew.aspx
6484,D'addario Nissan,"329 BRIDGEPORT AVE, SHELTON, CT 06484",http://www.daddarionissan.com/,Shelton,CT,Fairfield County,NA,NA,http://www.daddarionissan.com/VehicleSearchResults?search=new
6492,Barberino Nissan,"505 N COLONY ST, WALLINGFORD, CT 06492",http://www.barberinonissan.com/,Wallingford,CT,New Haven County,NA,NA,http://www.barberinonissan.com/inventory.cfm?type=new
6516,George Harte Nissan,"426 DERBY AVE, WEST HAVEN, CT 06516",http://www.georgehartenissan.com/,West Haven,CT,New Haven County,NA,NA,http://www.georgehartenissan.com/inventory/new-vehicles
6762,County Line Nissan,"2191 STRAITS TPKE, MIDDLEBURY, CT 06762",http://www.countylinenissan.com,Middlebury,CT,New Haven County,NA,NA,http://www.countylinenissan.com/new-inventory/index.htm
6790,Alfano Nissan,"1530 E. MAIN STREET, TORRINGTON, CT 06790",http://www.alfanonissan.com,Torrington,CT,Litchfield County,NA,NA,http://www.alfanonissan.com/new-inventory/index.htm
6825,Paul Miller Nissan,"930 KINGS HWY E, FAIRFIELD, CT 06825",http://www.getmillerized.com,Bridgeport,CT,Fairfield County,NA,NA,http://www.getmillerized.com/new-inventory/index.htm
6897,Bruce Bennett Nissan,"978 DANBURY RD, WILTON, CT 06897",http://www.brucebennettnissan.com,Wilton,CT,Fairfield County,NA,NA,http://brucebennettnissan.com/Danbury-CT/For-Sale/New/
7001,Sansone Nissan,"90 U.S. ROUTE #1, AVENEL, NJ 07001",http://WWW.SANSONESNISSAN.COM,Avenel,NJ,Middlesex County,NA,NA,http://www.sansonesnissan.com/new.cfm
7003,Lynnes Nissan City,"318 BLOOMFIELD AVE, BLOOMFIELD, NJ 07003",http://www.lynnesnissan.com/,Bloomfield,NJ,Essex County,NA,NA,http://www.lynnesnissan.com/type/new-inventory
7060,North Plainfield Nissan,"545 ROUTE 22 W, NORTH PLAINFIELD, NJ 07060",http://www.jerseynissan.com/,Plainfield,NJ,Somerset County,NA,NA,http://www.jerseynissan.com/new-cars/
7081,Nissan World Of Springfield,"146-162 RT 22 WEST, SPRINGFIELD, NJ 07081",http://www.springfieldnissan.com,Springfield,NJ,Union County,NA,NA,http://www.springfieldnissan.com/new.cfm
7205,Route 22 Nissan,"56 ROUTE 22 EAST, HILLSIDE, NJ 07205",http://www.route22nissan.com,Hillside,NJ,Union County,NA,NA,http://www.route22nissan.com/new-inventory/index.htm
7304,Hudson Nissan,"585 STATE ROUTE 440, JERSEY CITY, NJ 07304",http://www.hudsonnissan.com/,Jersey City,NJ,Hudson County,NA,NA,http://www.hudsonnissan.com/new-cars.aspx
7405,Route 23 Nissan,"1301 ROUTE 23, BUTLER, NJ 07405",http://www.23nissan.com/,Butler,NJ,Morris County,NA,NA,http://www.23nissan.com/searchnew.aspx
7458,Ramsey Nissan,"401 ROUTE 17 SOUTH, UPPER SADDLE RIV, NJ 07458",http://www.ramseynissan.com,Saddle River,NJ,Bergen County,NA,NA,http://ramseynissan.com/vehicle/inventory/new
7506,Nissan Of Hawthorne,"1060 GOFFLE RD, HAWTHORNE, NJ 07506",http://www.nissanofhawthorne.com,Hawthorne,NJ,Passaic County,NA,NA,http://www.nissanofhawthorne.com/new-inventory/index.htm
7512,Nissan 46,"440 ROUTE 46, TOTOWA, NJ 07512",http://www.route46nissan.com,Totowa,NJ,Passaic County,NA,NA,http://www.route46nissan.com/new-inventory/index.htm
7604,Autoeastern Nissan Of Meadowlands,"45 ROUTE 17 SOUTH, HASBROUCK HEIGHTS, NJ 07604",http://WWW.MEADOWLANDSNISSAN.COM,Hasbrouck Heights,NJ,Bergen County,NA,NA,http://www.meadowlandsnissan.com/searchnew.aspx
7621,Elite Nis Of Bergenfield,"318 SOUTH WASHINGTON AVE, BERGENFIELD, NJ 07621",http://www.elitenissan.com/,Bergenfield,NJ,Bergen County,NA,NA,http://www.elitenissan.com/new-inventory/index.htm
7632,Autoeastern Nissan Of Englewood Cliffs,"340 SYLVAN AVE. (RT 9W), ENGLEWOOD CLIFFS, NJ 07632",http://www.autoeasternnissanofenglewoodcliffs.com/,Englewood Cliffs,NJ,Bergen County,NA,NA,http://www.autoeasternnissanofenglewoodcliffs.com/searchnew.aspx
7652,Autoeastern Nissan Of Paramus,"331 WEST ROUTE 4, PARAMUS, NJ 07652",http://www.paramusnissan.com,Paramus,NJ,Bergen County,NA,NA,http://www.paramusnissan.com/searchnew.aspx
7701,Nissan World Of Red Bank,"120 NEWMAN SPRINGS RD E, RED BANK, NJ 07701",http://redbanknissan.com,Red Bank,NJ,Monmouth County,NA,NA,http://www.redbanknissan.com/new.cfm
7728,Dch Freehold Nissan,"4041 ROUTE 9 N, FREEHOLD, NJ 07728",http://www.dchfreeholdnissan.com/,Freehold,NJ,Monmouth County,NA,NA,http://dchfreeholdnissan.com/inventory/view/New/
7735,Pine Belt Nissan Of Keyport,"111 STATE ROUTE 36, KEYPORT, NJ 07735",http://www.nissan36.com,Keyport,NJ,Monmouth County,NA,NA,http://www.nissan36.com/search/new/tp/v:2/
7753,Sansone Jr's 66 Nissan,"3401 ROUTE 66, NEPTUNE, NJ 07753",http://www.66nissan.com,Neptune,NJ,Monmouth County,NA,NA,http://66nissan.com/new-inventory/
7834,Nissan World Of Denville,"3057 ROUTE 10, DENVILLE, NJ 07834",http://www.denvillenissan.com,Denville,NJ,Morris County,NA,NA,http://www.denvillenissan.com/new.cfm
7874,Lynnes Nissan West,"59 ROUTE 206, STANHOPE, NJ 07874",http://www.lynnesnissanwest.com/,Stanhope,NJ,Sussex County,NA,NA,http://www.lynnesnissanwest.com/type/new-inventory
7936,Hilltop Nissan,"258 ROUTE 10, EAST HANOVER, NJ 07936",http://WWW.HILLTOPNISSAN.COM,East Hanover,NJ,Morris County,NA,NA,http://hilltopnissan.com/inventory/new.php
8002,Cherry Hill Nissan,"RT 38 AND CHURCH ROAD, CHERRY HILL, NJ 08002",http://www.cherryhillnissan.com/,Cherry Hill,NJ,Camden County,NA,NA,http://www.cherryhillnissan.com/type/new-inventory
8012,Nissan Of Turnersville,"3400 ROUTE 42, TURNERSVILLE, NJ 08012",http://www.nissanofturnersville.com/,Blackwood,NJ,Camden County,NA,NA,http://www.nissanofturnersville.com/new-cars.aspx
8036,Classic Cars Nissan,"1513 ROUTE 38, HAINESPORT, NJ 08036",http://www.classiccarsnissan.com/,Hainesport,NJ,Burlington County,NA,NA,http://www.classiccarsnissan.com/new-inventory/index.htm
8050,Causeway Nissan,"435 ROUTE 72 WEST, MANAHAWKIN, NJ 08050",http://www.causewaynissan.net,Manahawkin,NJ,Ocean County,NA,NA,http://www.causewaynissan.net/new-cars-quiz.aspx
8096,Woodbury Nissan,"439 MANTUA AVE, WOODBURY, NJ 08096",http://www.woodburynissan.com,Woodbury,NJ,Gloucester County,NA,NA,http://www.woodburynissan.com/new-inventory/index.htm
8234,Nissan Of Atlantic City,"6021 BLACK HORSE PIKE, EGG HARBOR TWNSHP, NJ 08234",http://www.nissanofatlanticcity.com,Egg Harbor Township,NJ,Atlantic County,NA,NA,http://www.nissanofatlanticcity.com/new-cars/
8360,Team Nissan,"1715 S DELSEA DR, VINELAND, NJ 08360",http://www.teamnissan.com,Vineland,NJ,Cumberland County,NA,NA,http://www.teamnissan.com/new-inventory/
8520,Windsor Nissan By The Maguire Automotive,"590 ROUTE 130, EAST WINDSOR, NJ 08520",http://windsornissan.com/,Hightstown,NJ,Mercer County,NA,NA,http://www.windsornissan.com/search/new/tp/
8690,Route 33 Nissan,"951 US HWY 33, HAMILTON SQUARE, NJ 08690",http://www.route33nissan.com,Trenton,NJ,Mercer County,NA,NA,http://www.route33nissan.com/new-inventory/index.htm
8753,Pine Belt Automotive,"229 ROUTE 37 EAST, TOMS RIVER, NJ 08753",http://www.nissan37.com,Toms River,NJ,Ocean County,NA,NA,http://www.nissan37.com/search/new/tp/v:1/
8807,Bridgewater Nissan,"1400 ROUTE 22, BRIDGEWATER, NJ 08807",http://www.bridgewaternissan.com,Bridgewater,NJ,Somerset County,NA,NA,http://www.bridgewaternissan.com/new-inventory/index.htm
8817,Edison Nissan,"401 U.S. ROUTE 1, EDISON, NJ 08817",http://www.myedisonnissan.com,Edison,NJ,Middlesex County,NA,NA,http://www.myedisonnissan.com/new-inventory/index.htm
8822,Flemington Nissan,"219 ROUTES 202/31 SOUTH, FLEMINGTON, NJ 08822",http://flemingtonnissan.com/,Flemington,NJ,Hunterdon County,NA,NA,http://www.flemingtonnissan.com/searchnew.aspx
8852,Acme Nissan,"2050 U.S. 130, SOUTH BRUNSWICK, NJ 08852",http://www.acmenissan.com/,Monmouth Junction,NJ,Middlesex County,NA,NA,http://www.acmenissan.com/new-inventory/index.htm
10305,Staten Island Nissan,"1220 HYLAN BLVD, STATEN ISLAND, NY 10305",http://www.sinissan.com,Staten Island,NY,Richmond County,NA,NA,http://www.sinissan.com/searchnew.aspx
10469,Teddy Nissan,"3660 BOSTON ROAD, BRONX, NY 10469",http://www.teddynissan.com/index.htm,Bronx,NY,Bronx County,NA,NA,http://www.teddynissan.com/new-inventory/index.htm
10549,Jim Harte Nissan,"271 NORTH BEDFORD ROAD, MT KISCO, NY 10549",http://www.jimhartenissan.com,Mount Kisco,NY,Westchester County,NA,NA,http://www.jimhartenissan.com/inventory/new-vehicles
10573,Nissan City Of Port Chester,"225 BOSTON POST RD, PORT CHESTER, NY 10573",http://www.nissancity.com,Port Chester,NY,Westchester County,NA,NA,http://www.nissancity.com/vehicle/inventory/new
10598,Nissan Of Yorktown Heights,"3495 CROMPOND ROAD, YORKTOWN HEIGHTS, NY 10598",http://www.nissanofyorktownheights.com/,Yorktown Heights,NY,Westchester County,NA,NA,http://www.nissanofyorktownheights.com/new-inventory/index.htm
10607,White Plains Nissan,"500 TARRYTOWN RD, WHITE PLAINS, NY 10607",http://www.whiteplainsnissan.com,White Plains,NY,Westchester County,NA,NA,http://www.whiteplainsnissan.com/new-inventory/index.htm
10710,Central Avenue Nissan,"1919 CENTRAL PARK AVE, YONKERS, NY 10710",http://centralavenissan.com/,Yonkers,NY,Westchester County,NA,NA,http://www.centralavenissan.com/inventory
10801,Nissan Of New Rochelle,"2533 PALMER AVE, NEW ROCHELLE, NY 10801",http://www.NissanOfNewRochelle.com,New Rochelle,NY,Westchester County,NA,NA,http://www.nissanofnewrochelle.com/inventory/new-vehicles
10913,Rockland Nissan,"608 ROUTE 303, BLAUVELT, NY 10913",http://www.rocklandnissan.com/,Blauvelt,NY,Rockland County,NA,NA,http://www.rocklandnissan.com/new.cfm
10958,Nissan Of Middletown,"4961 ROUTE 17M, NEW HAMPTON, NY 10958",http://www.nissanmiddletownny.com/,New Hampton,NY,Orange County,NA,NA,http://www.nissanmiddletownny.com/new-inventory/
11021,Great Neck Nissan,"250 NORTHERN BLVD, GREAT NECK, NY 11021",http://www.greatnecknissan.com/,Great Neck,NY,Nassau County,NA,NA,http://www.greatnecknissan.com/new-cars/
11096,Rockaway Nissan,"600 BURNSIDE AVE, INWOOD, NY 11096",http://www.rockawaynissan.com,Inwood,NY,Nassau County,NA,NA,http://www.rockawaynissan.com/searchnew.aspx
11220,Bay Ridge Nissan,"6501 5TH AVE, BROOKLYN, NY 11220",http://www.bayridgenissan.com,Brooklyn,NY,Kings County,NA,NA,http://www.bayridgenissan.com/new-inventory/index.htm
11235,Kings Nissan,"2758 CONEY ISLAND AVE., BROOKLYN, NY 11235",http://www.kingsnissan.com/,Brooklyn,NY,Kings County,NA,NA,http://www.kingsnissan.com/new-inventory/index.htm
11361,Star Nissan,"20602 NORTHERN BLVD, BAYSIDE, NY 11361",http://www.starnissan.net,Bayside,NY,Queens County,NA,NA,http://www.starnissan.net/new-inventory/
11372,Koeppel Nissan,"74-05 - 74-15 NORTHERN BL, JACKSON HEIGHTS, NY 11372",http://www.koeppelnissan.biz,Jackson Heights,NY,Queens County,NA,NA,http://www.koeppelnissan.com/new-inventory/index.htm
11417,Nissan Of Queens,"93-25 ROCKAWAY BLVD, OZONE PARK, NY 11417",http://www.nissanofqueens.com/,Ozone Park,NY,Queens County,NA,NA,http://www.nissanofqueens.com/new-cars/
11432,Nemet Nissan,"153-10 HILLSIDE AVE, JAMAICA, NY 11432",http://nemetnissan.com,Jamaica,NY,Queens County,NA,NA,http://www.nemetnissan.com/new-inventory/index.htm
11548,Baron Nissan,"235 GLEN COVE RD, GREENVALE, NY 11548",http://www.baronnissan.net/,Greenvale,NY,Nassau County,NA,NA,http://www.baronnissanofroslyn.com/new-cars-long-island-ny
11550,Nissan Of Garden City,"316 N FRANKLIN ST, HEMPSTEAD, NY 11550",http://www.nissanofgardencity.com,Hempstead,NY,Nassau County,NA,NA,http://www.nissanofgardencity.com/searchnew.aspx
11580,Gregoris Mtrs,"555 W MERRICK RD, VALLEY STREAM, NY 11580",http://www.gregorisnissan.com/,Valley Stream,NY,Nassau County,NA,NA,http://www.gregorisnissan.com/new-inventory/index.htm
11590,Legacy Nissan,"939 OLD COUNTRY ROAD, WESTBURY, NY 11590",http://www.legacynissanny.com,Westbury,NY,Nassau County,NA,NA,http://www.legacynissanny.com/searchnew.aspx
11746,Nissan Of Huntington,"850 E. JERICHO TURNPIKE, HUNTINGTON STATIO, NY 11746",http://www.nissanofhuntington.com,Huntington Station,NY,Suffolk County,NA,NA,http://www.nissanofhuntington.com/searchnew.aspx
11772,Nissan 112 Sales Corp,"730 ROUTE 112, PATCHOGUE, NY 11772",http://nissan112.com,Patchogue,NY,Suffolk County,NA,NA,http://www.nissan112.com/new-cars/
11780,Smithtown Nissan,"535 MIDDLE COUNTRY ROAD, SAINT JAMES, NY 11780",http://www.nissanofsmithtown.com,Saint James,NY,Suffolk County,NA,NA,http://nissanofsmithtown.com/Long-Island/For-Sale/New/
11783,Massapequa Nissan,"3660 SUNRISE HWY, SEAFORD, NY 11783",http://www.massapequanissan.com/,Seaford,NY,Nassau County,NA,NA,http://www.massapequanissan.com/new-inventory/index.htm
11791,Legend Nissan,"268 JERICHO TPKE, SYOSSET, NY 11791",http://www.legendnissan.com/,Syosset,NY,Nassau County,NA,NA,http://legendnissan.com/Syosset/For-Sale/New/
11795,Atlantic Nissan Superstore,"205 SUNRISE HWY, WEST ISLIP, NY 11795",http://www.atlanticnissan.com,West Islip,NY,Suffolk County,NA,NA,http://www.atlanticnissan.com/new-inventory/
