zipcode,DealerName,Address,Link,city,state,county_name,Latitude,IV_link,Longitude
6807,Toyota of Greenwich,"75 E. Putnam Ave, Box 402, Cos Cob, Connecticut 06807",http://www.toyotaofgreenwich.com,Cos Cob,CT,Fairfield County,NA,http://www.toyotaofgreenwich.com/new-inventory/index.htm,NA
6810,Greentree Toyota,"87 Federal Road, Danbury, Connecticut 06810",http://www.greentreemotors.com,Danbury,CT,Fairfield County,NA,http://greentreemotors.com/Danbury-CT/For-Sale/New/,NA
6880,New Country Toyota of Westport,"777 Post Road East, Westport, Connecticut 06880",http://www.toyotawestport.com,Westport,CT,Fairfield County,NA,http://www.toyotawestport.com/new-inventory/index.htm,NA
6902,Toyota of Stamford,"20 Myrtle Ave, Stamford, Connecticut 06902",http://www.toyotaofstamford.com,Stamford,CT,Fairfield County,NA,http://www.toyotaofstamford.com/VehicleSearchResults?search=new,NA
7001,Sansone Toyota,"100 Route 1 North, Avenel, New Jersey 07001",http://www.sansonestoyota.com,Avenel,NJ,Middlesex County,NA,NA,NA
7006,Caldwell Toyota,"1155 Bloomfield Avenue, West Caldwell, New Jersey 07006",http://www.caldwelltoyota.com,Caldwell,NJ,Essex County,NA,http://caldwelltoyota.com/West-Caldwell-NJ/For-Sale/New/,NA
7075,East Coast Toyota,"85 State Highway 17, Wood Ridge, New Jersey 07075",http://www.eastcoasttoyota.com,Wood Ridge,NJ,Bergen County,NA,NA,NA
7081,Autoland Toyota,"170 Route 22 East, Springfield, New Jersey 07081",http://www.1800toyotaland.com,Springfield,NJ,Union County,NA,http://www.1800toyotaland.com/new-inventory/,NA
7205,Route 22 Toyota,"109 Route 22 West, Hillside, New Jersey 07205",http://www.route22toyota.com,Hillside,NJ,Union County,NA,http://www.route22toyota.com/searchnew.aspx,NA
7304,Hudson Toyota,"599 Route 440, Jersey City, New Jersey 07304",http://www.hudsontoyota.com,Jersey City,NJ,Hudson County,NA,http://www.hudsontoyota.com/new-cars.aspx,NA
7410,"Glen Motors, Inc.","23-07 Maple Avenue, Fairlawn, New Jersey 07410",http://www.glentoyota.com,Fair Lawn,NJ,Bergen County,NA,http://www.glentoyota.com/NewToyotaCars,NA
7424,Toyota Universe,"1485 Route 46 East, Little Falls, New Jersey 07424",http://www.toyotauniverse.com,Little Falls,NJ,Passaic County,NA,http://www.toyotauniverse.com/specials-new-inventory/index.htm,NA
7444,Crestmont Toyota,"730 State Route 23, Pompton Plains, New Jersey 07444",http://www.crestmonttoyota.com,Pompton Plains,NJ,Morris County,NA,http://www.crestmonttoyota.com/new-inventory/,NA
7446,Prestige Toyota,"1096 Route 17 North, Ramsey, New Jersey 07446",http://www.prestigetoyota.com,Ramsey,NJ,Bergen County,NA,http://www.prestigetoyota.com/new-inventory/,NA
7601,Toyota of Hackensack,"278 River Street, Hackensack, New Jersey 07601",http://www.toyotaofhackensack.com,Hackensack,NJ,Bergen County,NA,http://www.toyotaofhackensack.com/new-inventory/index.htm,NA
7632,Parkway Toyota,"50 Sylvan Avenue, Englewood Clfs, New Jersey 07632",http://www.parkwaytoyota.com,Englewood Cliffs,NJ,Bergen County,NA,http://www.parkwaytoyota.com/new-inventory/index.htm,NA
7724,Galaxy Toyota,"750 Route 36, Eatontown, New Jersey 07724",http://www.galaxytoyota.net,Eatontown,NJ,Monmouth County,NA,http://www.galaxytoyota.net/new-inventory/index.htm,NA
7728,DCH Freehold Toyota,"4268 Route 9 South, Freehold, New Jersey 07728",http://www.dchfreeholdtoyota.com,Freehold,NJ,Monmouth County,NA,http://dchfreeholdtoyota.com/inventory/newsearch/New/,NA
7852,Towne Toyota,"1499 Route 46, Ledgewood, New Jersey 07852",http://www.townetoyota.com,Ledgewood,NJ,Morris County,NA,http://www.townetoyota.com/searchnew.aspx,NA
7860,Toyota World of Newton,"66 Route 206 North, Newton, New Jersey 07860",http://www.newtontoyota.com,Newton,NJ,Sussex County,NA,http://www.newtontoyota.com/new-inventory/,NA
7960,Toyota of Morristown,"169 Ridgedale Ave, Morristown, New Jersey 07960",http://www.toyotaofmorristown.com,Morristown,NJ,Morris County,NA,http://www.toyotaofmorristown.com/new-inventory/index.htm,NA
8012,Toyota of Turnersville,"3400 Route 42, Turnersville, New Jersey 08012",http://www.toyotaofturnersville.com,Blackwood,NJ,Camden County,NA,http://www.toyotaofturnersville.com/new-cars.aspx,NA
8016,Liberty Toyota,"4397 South Route 130, Burlington, New Jersey 08016",http://www.libertytoyota.com,Burlington,NJ,Burlington County,NA,http://www.libertytoyota.com/new-inventory/?,NA
8054,Holman Toyota,"1301 Route 73, Mount Laurel, New Jersey 08054",http://holmantoyota.com,Mount Laurel,NJ,Burlington County,NA,http://www.holmantoyota.com/new-inventory/index.htm,NA
8078,Toyota of Runnemede,"99 South Black Horse Pike, Runnemede, New Jersey 08078",http://www.toyotaofrunnemede.com,Runnemede,NJ,Camden County,NA,http://www.toyotaofrunnemede.com/new-toyota-runnemede-nj,NA
8330,Shore Toyota,"4236 Black Horse Pike, Mays Landing, New Jersey 08330",http://www.shoretoyota.com,Mays Landing,NJ,Atlantic County,NA,http://www.shoretoyota.com/new-inventory/index.htm,NA
8360,Toyota of Vineland,"650 North Delsea Drive, Vineland, New Jersey 08360",http://www.toyotaofvineland.com,Vineland,NJ,Cumberland County,NA,http://www.toyotaofvineland.com/new-inventory/,NA
8648,Team Toyota of Princeton,"2871 Route 1, Lawrenceville, New Jersey 08648",http://www.teamtoyotaprinceton.com,Trenton,NJ,Mercer County,NA,http://www.teamtoyotaprinceton.com/new-inventory/index.htm,NA
8701,Toyota World of Lakewood,"1118 Route 88, Lakewood, New Jersey 08701",http://www.lakewoodtoyota.com,Lakewood,NJ,Ocean County,NA,NA,NA
